"V1","V2"
90,17
108,21
122,21
128,106
128,22
109,90
81,13
34,20
40,24
10,8
956,471
91,47
304,161
390,193
22,18
22,16
22,18
22,16
22,18
22,12
21,16
16,12
14,7
11,5
107,50
817,391
498,228
832,410
917,508
42,12
36,26
18,10
38,12
26,8
22,8
27,12
15,3
782,175
10,5
477,307
66,23
13,5
10,6
10,4
36,13
14,11
13,2
19,9
61,21
149,44
882,231
1180,282
1516,1186
1628,1076
1640,1120
1631,1345
1458,481
1337,1064
1167,907
669,504
383,274
58,49
47,9
28,19
28,9
23,8
22,14
11,6
11,5
11,6
15,6
17,6
17,11
13,6
24,13
10,7
631,295
18,6
42,9
474,236
28,16
32,21
206,120
10,7
23,5
46,20
42,18
29,14
23,13
12,2
28,18
39,19
39,19
44,19
45,26
37,12
29,23
72,33
337,175
647,307
742,371
801,434
24,7
18,3
13,4
40,7
17,11
10,4
10,2
10,8
12,2
26,12
69,41
163,105
798,161
1795,454
23,4
137,55
10,6
19,7
40,10
40,30
39,30
34,27
34,27
10,2
297,179
17,7
621,329
766,380
10,8
203,111
35,14
239,114
51,17
12,2
25,4
171,92
185,99
1210,635
1101,591
1043,511
1020,514
901,473
890,473
669,273
831,481
872,373
525,329
104,61
16,4
16,5
14,9
14,10
14,9
11,9
21,6
159,93
12,6
545,321
155,79
55,18
45,13
31,9
34,24
28,20
46,30
58,44
37,25
56,34
59,9
59,47
28,22
17,5
314,156
346,178
680,365
204,93
115,61
13,5
13,2
11,2
13,4
18,13
17,5
11,8
34,15
34,15
33,14
652,271
16,3
68,26
741,387
729,419
20,10
11,3
11,3
10,3
20,17
44,19
1487,840
72,35
42,19
37,22
37,11
13,8
11,3
18,6
18,12
37,21
43,21
43,22
42,22
41,22
12,10
39,18
784,314
12,2
119,76
747,354
19,9
31,19
10,8
40,28
24,18
17,14
21,17
25,4
23,19
23,4
20,9
28,6
16,4
10,2
12,5
45,27
32,14
658,344
973,412
1457,764
235,117
29,18
145,75
265,122
17,9
143,67
183,94
274,142
111,54
407,232
103,33
344,180
21,8
12,10
399,223
15,3
15,3
46,12
56,14
60,45
58,42
58,17
55,15
25,16
13,10
237,50
11,7
14,8
17,11
22,14
24,16
28,8
62,25
73,30
49,35
49,14
47,33
47,33
42,28
37,23
35,21
15,4
14,4
11,9
10,4
23,9
37,25
148,51
267,186
497,360
382,269
86,19
27,22
15,11
13,2
535,289
802,359
449,197
578,228
363,190
11,9
12,3
12,2
12,2
12,9
12,10
12,2
46,32
131,50
30,20
26,13
17,13
13,8
22,8
78,44
26,17
26,16
22,9
22,9
25,8
18,10
18,11
10,8
10,2
10,2
35,16
26,6
16,6
14,10
74,15
11,5
14,6
760,415
23,19
29,8
29,21
35,10
38,26
31,12
19,9
17,8
11,5
11,6
660,354
20,12
17,10
10,8
12,2
12,2
12,10
12,2
12,2
44,36
45,30
55,37
27,6
27,6
12,10
19,8
11,9
10,3
13,3
13,3
14,3
33,13
39,20
18,14
20,3
495,251
11,2
105,59
11,8
31,6
29,14
16,7
23,11
37,15
2690,1177
11,4
19,8
19,11
22,14
22,12
20,6
44,20
23,8
15,10
15,10
15,10
15,10
84,50
217,107
1521,668
26,21
13,2
113,46
177,66
360,161
51,13
430,210
20,4
29,24
63,31
14,6
18,10
10,4
26,15
107,72
179,108
305,180
370,145
434,273
525,343
593,216
656,433
620,412
592,369
323,150
281,148
14,7
27,11
77,41
80,43
116,60
122,54
26,8
18,6
10,5
10,5
10,7
1848,878
1570,800
671,340
267,129
153,76
48,25
14,4
488,233
774,365
58,31
12,4
93,34
95,38
830,413
576,271
424,207
339,191
20,3
351,178
560,329
884,460
12,2
17,12
19,12
21,12
21,12
22,12
67,18
13,9
14,5
37,26
78,46
585,221
585,368
660,258
592,273
514,234
181,73
258,52
314,87
394,136
432,156
435,156
435,153
395,281
382,271
624,260
672,452
675,208
677,474
610,455
551,407
155,121
120,61
126,25
659,547
666,551
537,426
536,110
523,437
507,421
488,410
35,22
347,165
274,131
330,253
332,254
331,232
146,70
76,35
24,10
13,4
115,60
286,136
414,192
494,229
382,185
537,235
15,7
13,6
12,10
561,251
24,12
12,6
46,39
60,26
23,8
26,18
28,20
589,320
11,4
466,213
14,7
175,97
10,8
38,9
61,12
77,62
43,29
35,10
12,10
328,150
559,289
36,15
14,8
17,13
17,7
19,10
63,47
81,52
192,50
296,108
323,75
329,254
321,226
253,107
186,64
186,64
158,90
144,76
43,32
29,21
12,2
71,22
340,169
530,255
21,8
17,13
17,13
17,13
14,4
14,10
14,10
14,4
14,10
13,9
342,177
11,2
341,171
19,5
20,16
29,8
107,37
550,123
23,4
415,307
81,43
11,2
63,15
10,6
18,12
18,4
12,2
18,13
29,16
29,16
29,16
39,25
40,26
39,14
40,26
44,27
43,27
43,27
40,27
40,27
40,13
39,26
123,40
18,3
16,3
12,3
44,26
42,8
26,18
10,4
12,8
14,6
12,6
11,5
11,6
11,5
11,6
11,6
11,6
93,38
86,45
11,3
35,21
76,27
32,21
259,117
25,11
211,129
244,156
283,186
298,100
310,95
268,174
267,174
265,172
260,88
171,54
170,53
148,49
141,98
128,89
128,89
94,27
45,16
35,24
25,20
20,15
10,8
10,2
12,2
12,4
14,4
32,6
29,24
74,46
60,29
180,88
13,11
11,2
10,6
12,6
12,6
10,6
15,10
30,13
63,22
106,49
94,47
17,11
26,6
62,46
533,271
560,291
